subject,predicate,object
Description,subClassOf,ACDielectricDispersion
RealPermitivity,subClassOf,ElectricalProperty
RealPermitivity,subClassOf,ACDielectricDispersion
Description,subClassOf,ElectricalProperty
PhysicalProperty,subClassOf,Property
EnergyDensity,subClassOf,ElectricalProperty
ACDielectricDispersion,subClassOf,ElectricalProperty
ElectricalProperty,subClassOf,PhysicalProperty
Conductivity,subClassOf,ElectricalProperty
WebullPlot,subClassOf,ElectricalProperty
PercolationThreshold,subClassOf,ElectricalProperty
VolumeResistivity,subClassOf,ElectricalProperty
LossTangent,subClassOf,ACDielectricDispersion
DCDielectricConstant,subClassOf,ElectricalProperty
LossTangent,subClassOf,ElectricalProperty
DielectricBreakdownStrength,subClassOf,ElectricalProperty
CurrentDensity,subClassOf,ElectricalProperty
LossPermitivity,subClassOf,ElectricalProperty
LossPermitivity,subClassOf,ACDielectricDispersion
SurfaceResistivity,subClassOf,ElectricalProperty
ArcResistance,subClassOf,ElectricalProperty
Impedance,subClassOf,ElectricalProperty
WebullParameter,subClassOf,ElectricalProperty
